STATION;URL;STATUS;DAVIS
3-5пгцадиа в/й*;http://penteli.meteo.gr/stations/3-5pigadia/;200;False
ац. памтес вамиым*;http://penteli.meteo.gr/stations/agpantes/;200;False
ац. паяасйеуг аттийгс*;http://penteli.meteo.gr/stations/agiaparaskevi/;200;True
ац.йуяиайг иыам*;http://penteli.meteo.gr/stations/agiakiriaki/;200;True
ациа каяисас*;http://penteli.meteo.gr/stations/agia/;200;True
ациои хеодыяои йояимхиас*;http://penteli.meteo.gr/stations/agioitheodoroi/;200;True
ациос мийокаос*;http://penteli.meteo.gr/stations/aghiosnikolaos/;200;True
ацяимио*;http://penteli.meteo.gr/stations/agrinio/;200;True
ахгма цйафи*;http://penteli.meteo.gr/stations/athens/;200;True
аицима*;http://penteli.meteo.gr/stations/aegina/;200;True
аитыкийо*;http://penteli.meteo.gr/stations/aitoliko/;200;True
акацомиа лессгмиас*;http://penteli.meteo.gr/stations/alagonia/;200;True
акен/покг*;http://penteli.meteo.gr/stations/alexandroupolis/;200;True
акийиамос вамиым*;http://penteli.meteo.gr/stations/alikianos/;200;True
акилос*;http://penteli.meteo.gr/stations/alimos/;200;True
акоммгсос*;http://penteli.meteo.gr/stations/alonissos/;200;True
алакиада*;http://penteli.meteo.gr/stations/amaliada/;200;True
алояцос*;http://penteli.meteo.gr/stations/amorgos/;200;True
алпекойгпои*;http://penteli.meteo.gr/stations/ampelokipoi/;200;True
алумтаио*;http://penteli.meteo.gr/stations/amyntaio/;200;True
алжийкеиа*;http://penteli.meteo.gr/stations/amfiklia/;200;False
алжиковиа*;http://penteli.meteo.gr/stations/amfiloxia/;200;True
амабуссос*;http://www.poseidon.hcmr.gr/wstations/anavyssos/;200;True
амажг*;http://penteli.meteo.gr/stations/anafi/;200;True
амдяитсаима*;http://penteli.meteo.gr/stations/andritsaina/;200;True
амдяос*;http://penteli.meteo.gr/stations/andros/;200;True
амтийуяа боиытиас*;http://penteli.meteo.gr/stations/antikira/;200;True
амы киосиа*;http://penteli.meteo.gr/stations/anoliosia/;200;True
амыцеиа*;http://penteli.meteo.gr/stations/anogeia/;200;False
апеияамхос маноу*;http://penteli.meteo.gr/stations/apiranthos/;200;True
апоккымас маноу*;http://penteli.meteo.gr/stations/apollonas/;200;True
аяавыба*;http://penteli.meteo.gr/stations/arahova/;200;True
аяцос*;http://penteli.meteo.gr/stations/argos/;200;True
аядасса йофамгс*;http://penteli.meteo.gr/stations/ardassa/;200;True
аяидаиа*;http://penteli.meteo.gr/stations/aridaia/;200;True
аясайеио-дяосиа*;http://penteli.meteo.gr/stations/arsakeio-drosia/;200;True
аята*;http://penteli.meteo.gr/stations/arta/;200;True
аяжаяа лессгмиас*;http://penteli.meteo.gr/stations/arfara/;200;True
аяваиа окулпиа*;http://penteli.meteo.gr/stations/olympia/;404;False
асг цымиа вамиым*;http://penteli.meteo.gr/stations/asigonia/;200;True
асйужоу вамиым*;http://penteli.meteo.gr/stations/askyfou/;200;True
аспяаццекои*;http://penteli.meteo.gr/stations/aspraggeloi/;200;True
аспяобакта*;http://penteli.meteo.gr/stations/asprovalta/;200;True
аспяопуяцос*;http://penteli.meteo.gr/stations/aspropirgos/;200;True
аукида*;http://penteli.meteo.gr/stations/avlida/;200;True
бациымиа гяайкеиоу*;http://penteli.meteo.gr/stations/vagionia/;200;True
баяг аттийгс*;http://penteli.meteo.gr/stations/vari/;200;True
баяхоколио*;http://penteli.meteo.gr/stations/vartholomio/;200;True
баяийо жкыяимас*;http://penteli.meteo.gr/stations/variko/;200;True
басикитса в/й*;http://penteli.meteo.gr/stations/vasilitsa/;200;True
батеяг еубоиас*;http://penteli.meteo.gr/stations/vateri/;200;True
батопеди*;http://penteli.meteo.gr/stations/vatopedi/;200;True
бецояитида*;http://penteli.meteo.gr/stations/vegoritida/;200;True
бекбемто1*;http://penteli.meteo.gr/stations/velvento1/;200;True
бекбемтос йофамгс*;http://penteli.meteo.gr/stations/velvento/;200;True
беяоиа*;http://penteli.meteo.gr/stations/veroia/;200;True
бикиа*;http://penteli.meteo.gr/stations/vilia/;200;True
бкастг йофамгс*;http://penteli.meteo.gr/stations/vlasti/;200;True
бокос*;http://penteli.meteo.gr/stations/volos/;200;True
бокос-покутевмеио*;http://penteli.meteo.gr/stations/uth_volos/;200;True
боуяцаяеки аятас*;http://penteli.meteo.gr/stations/vourgareli/;200;True
бяавмаиийа*;http://penteli.meteo.gr/stations/vrahnaiika/;200;False
бяикгссиа*;http://penteli.meteo.gr/stations/vrilissia/;200;True
бяусес вамиым*;http://penteli.meteo.gr/stations/vrysses/;200;True
бутима аяйадиас*;http://penteli.meteo.gr/stations/vytina/;200;True
быбоуса иыаммимым*;http://penteli.meteo.gr/stations/vovoussa/;200;False
ц.йакоцгяоу аятас*;http://penteli.meteo.gr/stations/gefyrakalogirou/;200;False
цабакоу аитк/миас*;http://penteli.meteo.gr/stations/gavalou/;200;True
цаканиди*;http://penteli.meteo.gr/stations/galaxidi/;200;True
цаядийи тяийакым*;http://penteli.meteo.gr/stations/gardiki/;200;False
цеяайи кайымиас*;http://meteoclima.hua.gr/stations/geraki/;200;True
циаммитса*;http://penteli.meteo.gr/stations/giannitsa/;200;True
цяаллос*;http://penteli.meteo.gr/stations/grammos/;404;False
цяебема*;http://penteli.meteo.gr/stations/grevena/;200;True
далаяиымас маноу*;http://penteli.meteo.gr/stations/damarionas/;200;True
деябеми йояимхиас*;http://meteoclima.hua.gr/stations/derveni/;200;True
деябифиама иыам.*;http://penteli.meteo.gr/stations/derviziana/;200;False
дидула аяцокидас;http://penteli.meteo.gr/stations/didyma/;200;True
дидулотеиво*;http://penteli.meteo.gr/stations/didymoteicho/;200;True
диом*;http://penteli.meteo.gr/stations/dion/;200;True
долойос*;http://penteli.meteo.gr/stations/domokos/;200;True
домоуса*;http://penteli.meteo.gr/stations/donoussa/;404;False
донато дяалас*;http://penteli.meteo.gr/stations/doxato/;200;True
дяала*;http://penteli.meteo.gr/stations/drama/;200;True
дыдымг*;http://penteli.meteo.gr/stations/dodoni/;200;True
ейакг аттийгс*;http://penteli.meteo.gr/stations/ekali/;200;True
екатг аяйадиас*;http://penteli.meteo.gr/stations/elati/;200;True
екатовыяи в/й*;http://penteli.meteo.gr/stations/elatohori/;200;True
екеоуса иыаммимым*;http://penteli.meteo.gr/stations/eleousa;404;False
екеухеяоупокг*;http://penteli.meteo.gr/stations/eleftheroupoli/;200;True
екеусима*;http://penteli.meteo.gr/stations/elefsina/;200;True
екос вамиым*;http://www.meteo.gr/stations/ elos;404;False
елпымас яодоу*;http://penteli.meteo.gr/stations/emponas;404;False
фацояа пгкиоу*;http://penteli.meteo.gr/stations/zagora/;200;True
файумхос*;http://penteli.meteo.gr/stations/zakynthos/;200;True
фаяайес еубоиас*;http://penteli.meteo.gr/stations/zarakes/;200;True
фаваяы гкеиас*;http://penteli.meteo.gr/stations/zacharo/;200;True
фитса иыаммимым*;http://penteli.meteo.gr/stations/zitsa/;200;True
гцоулемитса*;http://penteli.meteo.gr/stations/igoumenitsa/;200;True
гяайкеиа йуйкадым*;http://penteli.meteo.gr/stations/iraklia/;200;True
гяайкеио дутийа*;http://penteli.meteo.gr/stations/heraclionwest/;200;True
гяайкеио килами*;http://penteli.meteo.gr/stations/heraclionport/;200;True
